3,51
11,42
11,168
13,126
14,167
18,28
18,45
19,24
21,119
22,58
26,186
27,165
29,37
29,173
31,117
32,151
34,164
34,178
35,193
37,28
40,129
41,150
43,150
44,19
46,51
46,129
49,21
52,156
58,195
59,136
62,123
62,170
65,89
67,1
67,135
69,167
70,168
74,121
75,7
76,168
76,178
81,75
84,127
86,41
87,8
90,59
91,180
94,139
97,102
97,153
97,171
101,80
103,19
105,125
106,83
108,115
109,127
113,57
115,170
117,92
121,155
124,95
124,114
128,71
128,129
129,2
132,29
132,60
136,105
139,12
140,26
140,149
143,11
143,91
154,199
156,73
162,27
163,126
164,28
167,29
167,56
172,136
176,4
177,115
179,88
182,130
182,145
183,86
184,137
186,92
186,165
187,56
188,184
193,56
193,100
193,135
195,170
196,81
196,123
198,124
